inquiry_type,project_type,service_needed,budget_range,project_timeline,city,preferred_contact,message_length,lead_score
Bulk Order Inquiry,Industrial,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Trivandrum,WhatsApp,57,1
Dealership Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Delhi,Email,269,1
Product Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",3+ Months,Mumbai,WhatsApp,262,0
Product Inquiry,Residential,Exterior Solutions,"Above ₹10,00,000",3+ Months,Trivandrum,Phone,74,1
Dealership Inquiry,Industrial,Commercial Services,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Madurai,WhatsApp,46,1
Bulk Order Inquiry,Industrial,Commercial Services,"Below ₹10,000",Urgent (Within 1 Week),Bengaluru,Email,330,1
Dealership Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Hyderabad,Phone,314,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,WhatsApp,128,0
Dealership Inquiry,Industrial,Professional Painting,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Chennai,WhatsApp,209,1
General Feedback,Commercial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,Phone,212,0
Bulk Order Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",3+ Months,Kochi,Phone,156,0
Product Inquiry,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Coimbatore,WhatsApp,136,0
General Feedback,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Email,68,0
Technical Support,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Mumbai,Email,308,0
Bulk Order Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Pune,WhatsApp,56,1
Product Inquiry,Industrial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Email,243,0
Technical Support,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Pune,Phone,282,0
Product Inquiry,Commercial,Color Consultation,"₹2,00,000 - ₹10,00,000",1-3 Months,Coimbatore,Email,86,1
Product Inquiry,Industrial,Professional Painting,"₹50,000 - ₹2,00,000",3+ Months,Delhi,Phone,153,0
Dealership Inquiry,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",3+ Months,Mumbai,WhatsApp,44,0
Bulk Order Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Hyderabad,Phone,196,0
Bulk Order Inquiry,Commercial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Trivandrum,WhatsApp,151,1
Technical Support,Industrial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Madurai,WhatsApp,231,0
Product Inquiry,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Pune,Phone,212,0
Product Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",3+ Months,Trivandrum,Email,192,0
Bulk Order Inquiry,Commercial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Pune,WhatsApp,347,1
Product Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Coimbatore,Phone,191,0
Bulk Order Inquiry,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",3+ Months,Delhi,WhatsApp,137,0
Dealership Inquiry,Industrial,Interior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Mumbai,WhatsApp,223,1
Bulk Order Inquiry,Industrial,Interior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Trivandrum,Email,105,1
Other,Commercial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-3 Months,Hyderabad,Phone,153,1
Bulk Order Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Bengaluru,Phone,190,0
Product Inquiry,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,Email,76,0
Bulk Order Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,Phone,67,0
General Feedback,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",3+ Months,Mumbai,Email,274,0
General Feedback,Residential,Exterior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Hyderabad,Email,69,0
Bulk Order Inquiry,Residential,Professional Painting,"Below ₹10,000",1-3 Months,Madurai,Phone,290,0
Dealership Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",3+ Months,Trivandrum,Email,236,0
Bulk Order Inquiry,Residential,Color Consultation,"Above ₹10,00,000",3+ Months,Chennai,WhatsApp,311,1
Bulk Order Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",3+ Months,Coimbatore,WhatsApp,199,0
Dealership Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",1-3 Months,Trivandrum,WhatsApp,192,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Pune,Email,108,0
Product Inquiry,Residential,Professional Painting,"Above ₹10,00,000",1-3 Months,Mumbai,Email,49,1
Bulk Order Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Chennai,Phone,227,1
Bulk Order Inquiry,Industrial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Bengaluru,WhatsApp,64,0
Bulk Order Inquiry,Commercial,Color Consultation,"Below ₹10,000",Urgent (Within 1 Week),Trivandrum,Phone,267,1
General Feedback,Commercial,Exterior Solutions,"Below ₹10,000",1-3 Months,Bengaluru,WhatsApp,44,0
Dealership Inquiry,Residential,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Madurai,Email,254,0
Product Inquiry,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Trivandrum,Email,142,1
Technical Support,Commercial,Professional Painting,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Kochi,Phone,320,0
Product Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",Urgent (Within 1 Week),Kochi,Email,96,0
Other,Commercial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Delhi,Phone,91,1
Other,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Phone,91,0
Technical Support,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,Email,99,0
Bulk Order Inquiry,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Hyderabad,WhatsApp,223,1
Product Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Hyderabad,Phone,245,1
Dealership Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Email,125,0
Product Inquiry,Industrial,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Mumbai,WhatsApp,331,1
Technical Support,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Bengaluru,Phone,106,0
General Feedback,Industrial,Maintenance Program,"Below ₹10,000",1-3 Months,Trivandrum,WhatsApp,46,0
Dealership Inquiry,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",3+ Months,Madurai,Email,213,0
General Feedback,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Trivandrum,WhatsApp,237,1
Product Inquiry,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Mumbai,Email,280,0
Bulk Order Inquiry,Residential,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,WhatsApp,182,0
Dealership Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,Phone,275,0
Product Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Email,294,0
General Feedback,Industrial,Commercial Services,"Below ₹10,000",1-4 Weeks,Hyderabad,WhatsApp,86,0
Dealership Inquiry,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,Email,214,0
Bulk Order Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Pune,WhatsApp,347,1
General Feedback,Commercial,Interior Solutions,"Below ₹10,000",1-3 Months,Hyderabad,WhatsApp,41,0
Dealership Inquiry,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Coimbatore,Email,124,1
Product Inquiry,Residential,Exterior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Delhi,WhatsApp,241,0
Technical Support,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Kochi,Phone,341,1
Dealership Inquiry,Residential,Commercial Services,"Above ₹10,00,000",Urgent (Within 1 Week),Chennai,WhatsApp,295,2
Other,Residential,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Madurai,Email,300,1
Bulk Order Inquiry,Industrial,Interior Solutions,"Below ₹10,000",1-4 Weeks,Trivandrum,Phone,347,0
General Feedback,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Phone,167,0
General Feedback,Commercial,Maintenance Program,"Below ₹10,000",1-4 Weeks,Trivandrum,Phone,302,0
Bulk Order Inquiry,Residential,Commercial Services,"Above ₹10,00,000",1-3 Months,Hyderabad,WhatsApp,142,1
Technical Support,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",3+ Months,Pune,WhatsApp,131,0
Product Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,WhatsApp,332,0
Bulk Order Inquiry,Residential,Commercial Services,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Bengaluru,Email,256,1
Technical Support,Residential,Interior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Hyderabad,Email,176,0
Bulk Order Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Kochi,Email,317,0
Dealership Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,Phone,154,0
Product Inquiry,Industrial,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Chennai,Phone,187,1
Technical Support,Industrial,Color Consultation,"Above ₹10,00,000",3+ Months,Chennai,WhatsApp,200,1
Product Inquiry,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Pune,WhatsApp,266,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Mumbai,WhatsApp,139,0
Product Inquiry,Commercial,Color Consultation,"Above ₹10,00,000",1-3 Months,Coimbatore,Phone,101,1
Dealership Inquiry,Residential,Interior Solutions,"Below ₹10,000",1-3 Months,Kochi,WhatsApp,170,0
Other,Residential,Maintenance Program,"Below ₹10,000",3+ Months,Madurai,WhatsApp,345,1
Technical Support,Industrial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Trivandrum,Email,77,1
Other,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,Phone,121,0
Product Inquiry,Commercial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,Email,209,0
Other,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,WhatsApp,327,0
Technical Support,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Pune,Phone,164,0
Other,Industrial,Interior Solutions,"Above ₹10,00,000",1-4 Weeks,Chennai,WhatsApp,316,1
Bulk Order Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Hyderabad,WhatsApp,268,0
Product Inquiry,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",3+ Months,Chennai,WhatsApp,125,0
Product Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,WhatsApp,257,0
Bulk Order Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Email,76,0
General Feedback,Residential,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Hyderabad,WhatsApp,67,0
Product Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Coimbatore,Phone,248,1
Technical Support,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Madurai,Email,43,0
Bulk Order Inquiry,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Bengaluru,Phone,77,0
Bulk Order Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Chennai,Phone,264,1
Product Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Mumbai,Phone,319,0
Dealership Inquiry,Residential,Commercial Services,"Above ₹10,00,000",1-3 Months,Trivandrum,Email,231,1
Product Inquiry,Industrial,Color Consultation,"Below ₹10,000",1-3 Months,Hyderabad,Email,315,0
Bulk Order Inquiry,Industrial,Maintenance Program,"Above ₹10,00,000",1-4 Weeks,Trivandrum,Email,251,1
Product Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Madurai,Email,139,0
Bulk Order Inquiry,Industrial,Commercial Services,"Above ₹10,00,000",3+ Months,Bengaluru,Phone,276,1
Dealership Inquiry,Commercial,Interior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Pune,Email,337,1
Dealership Inquiry,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Phone,75,0
Technical Support,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Phone,118,0
Other,Industrial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Coimbatore,Phone,153,0
Bulk Order Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",1-3 Months,Pune,Phone,285,1
General Feedback,Commercial,Maintenance Program,"Below ₹10,000",1-3 Months,Mumbai,WhatsApp,81,0
Product Inquiry,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,WhatsApp,78,0
Product Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Trivandrum,Phone,342,0
Dealership Inquiry,Commercial,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Delhi,WhatsApp,116,1
Bulk Order Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Pune,WhatsApp,301,0
Product Inquiry,Industrial,Professional Painting,"₹10,000 - ₹50,000",3+ Months,Kochi,Email,124,0
Product Inquiry,Industrial,Special Effects & Textures,"Above ₹10,00,000",1-3 Months,Kochi,Phone,114,1
Product Inquiry,Commercial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Chennai,WhatsApp,175,1
Product Inquiry,Commercial,Color Consultation,"Above ₹10,00,000",1-4 Weeks,Chennai,WhatsApp,280,1
Technical Support,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Madurai,WhatsApp,180,0
Dealership Inquiry,Industrial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Bengaluru,WhatsApp,340,0
Product Inquiry,Commercial,Maintenance Program,"Above ₹10,00,000",1-4 Weeks,Pune,Phone,247,1
Bulk Order Inquiry,Commercial,Professional Painting,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Delhi,Email,111,2
Dealership Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Bengaluru,WhatsApp,120,1
Product Inquiry,Industrial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Kochi,Email,286,1
Dealership Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Madurai,WhatsApp,164,0
Product Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Mumbai,Phone,333,0
Other,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Hyderabad,Email,328,0
Product Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Coimbatore,WhatsApp,286,0
Product Inquiry,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Phone,301,0
Dealership Inquiry,Residential,Color Consultation,"Below ₹10,000",1-4 Weeks,Delhi,WhatsApp,107,0
Bulk Order Inquiry,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Phone,116,0
Other,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",3+ Months,Bengaluru,Email,312,0
General Feedback,Industrial,Special Effects & Textures,"Below ₹10,000",1-3 Months,Coimbatore,WhatsApp,40,0
General Feedback,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-3 Months,Kochi,Phone,259,1
Technical Support,Residential,Exterior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Mumbai,Phone,334,1
General Feedback,Industrial,Commercial Services,"₹10,000 - ₹50,000",3+ Months,Coimbatore,Phone,185,0
Product Inquiry,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,Email,335,0
Technical Support,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Mumbai,Phone,249,0
Dealership Inquiry,Industrial,Interior Solutions,"₹10,000 - ₹50,000",3+ Months,Madurai,Phone,256,0
Other,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,Phone,322,0
Dealership Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",3+ Months,Coimbatore,WhatsApp,335,1
Product Inquiry,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Mumbai,Email,157,1
Product Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Email,321,0
Technical Support,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Coimbatore,Email,114,0
Product Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Coimbatore,WhatsApp,59,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",3+ Months,Kochi,Phone,69,0
Product Inquiry,Commercial,Professional Painting,"₹2,00,000 - ₹10,00,000",3+ Months,Chennai,WhatsApp,305,1
Dealership Inquiry,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,Email,58,0
Product Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,WhatsApp,242,0
Product Inquiry,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",3+ Months,Trivandrum,WhatsApp,321,0
Technical Support,Residential,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Coimbatore,WhatsApp,350,1
Product Inquiry,Residential,Commercial Services,"Below ₹10,000",1-4 Weeks,Hyderabad,Phone,326,0
Other,Industrial,Interior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Kochi,Phone,315,1
Dealership Inquiry,Industrial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Madurai,Email,274,1
General Feedback,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,Phone,152,0
General Feedback,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Bengaluru,Phone,174,0
Dealership Inquiry,Commercial,Interior Solutions,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Pune,Email,131,2
Bulk Order Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",3+ Months,Delhi,Email,137,0
Bulk Order Inquiry,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Madurai,Phone,143,1
Product Inquiry,Industrial,Color Consultation,"Below ₹10,000",3+ Months,Trivandrum,Email,292,0
Bulk Order Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,WhatsApp,334,0
Product Inquiry,Industrial,Maintenance Program,"₹10,000 - ₹50,000",1-3 Months,Coimbatore,Phone,67,0
Other,Commercial,Color Consultation,"Below ₹10,000",1-4 Weeks,Trivandrum,Phone,129,0
Technical Support,Industrial,Color Consultation,"Below ₹10,000",1-3 Months,Pune,Phone,234,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,Phone,161,0
Technical Support,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,Phone,230,0
General Feedback,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",3+ Months,Hyderabad,Email,157,0
Dealership Inquiry,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Chennai,Email,116,2
General Feedback,Industrial,Special Effects & Textures,"Below ₹10,000",3+ Months,Pune,Phone,304,0
Technical Support,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Mumbai,Email,243,0
Product Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Pune,Phone,89,0
Technical Support,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",3+ Months,Coimbatore,Email,171,0
Technical Support,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,Email,335,0
Other,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Email,301,0
Technical Support,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Pune,Phone,114,0
Dealership Inquiry,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Email,76,0
Technical Support,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Hyderabad,Phone,349,0
Bulk Order Inquiry,Commercial,Exterior Solutions,"Above ₹10,00,000",1-3 Months,Mumbai,Email,306,1
Bulk Order Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Bengaluru,Email,168,0
Product Inquiry,Industrial,Color Consultation,"Below ₹10,000",Urgent (Within 1 Week),Chennai,Phone,282,0
Dealership Inquiry,Residential,Special Effects & Textures,"Above ₹10,00,000",Urgent (Within 1 Week),Coimbatore,Phone,119,2
Product Inquiry,Residential,Commercial Services,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Email,104,0
Product Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",3+ Months,Trivandrum,Phone,283,0
Dealership Inquiry,Residential,Commercial Services,"Below ₹10,000",3+ Months,Madurai,Phone,316,0
Dealership Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,Phone,308,0
Other,Commercial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Pune,Phone,85,0
Product Inquiry,Commercial,Interior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Kochi,WhatsApp,109,0
Product Inquiry,Commercial,Color Consultation,"Above ₹10,00,000",3+ Months,Coimbatore,Phone,284,1
Dealership Inquiry,Commercial,Commercial Services,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Coimbatore,Phone,136,1
Product Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Bengaluru,Phone,233,0
Dealership Inquiry,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Trivandrum,Phone,179,0
General Feedback,Residential,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Kochi,WhatsApp,188,1
General Feedback,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,WhatsApp,204,0
Product Inquiry,Industrial,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Chennai,Email,104,1
Product Inquiry,Commercial,Maintenance Program,"Below ₹10,000",1-4 Weeks,Kochi,Phone,255,0
General Feedback,Residential,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Coimbatore,Email,114,1
Dealership Inquiry,Commercial,Maintenance Program,"Below ₹10,000",3+ Months,Chennai,Email,168,0
Other,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,Email,266,1
General Feedback,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Hyderabad,Phone,146,1
Product Inquiry,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Hyderabad,Phone,321,0
Dealership Inquiry,Residential,Professional Painting,"Below ₹10,000",3+ Months,Coimbatore,Phone,151,0
Product Inquiry,Residential,Color Consultation,"₹2,00,000 - ₹10,00,000",1-3 Months,Chennai,WhatsApp,242,1
Bulk Order Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Mumbai,Phone,230,0
Product Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",3+ Months,Mumbai,WhatsApp,70,0
Dealership Inquiry,Industrial,Maintenance Program,"Below ₹10,000",1-4 Weeks,Pune,Phone,202,0
Bulk Order Inquiry,Commercial,Color Consultation,"Below ₹10,000",1-4 Weeks,Kochi,WhatsApp,108,0
General Feedback,Industrial,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Trivandrum,Phone,137,0
Technical Support,Industrial,Professional Painting,"₹10,000 - ₹50,000",3+ Months,Bengaluru,WhatsApp,346,0
Product Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Trivandrum,Phone,227,0
Bulk Order Inquiry,Industrial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-3 Months,Pune,WhatsApp,226,1
Product Inquiry,Industrial,Special Effects & Textures,"Above ₹10,00,000",1-3 Months,Kochi,WhatsApp,137,1
Product Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Trivandrum,WhatsApp,204,0
Product Inquiry,Residential,Color Consultation,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Kochi,Email,56,1
Product Inquiry,Industrial,Commercial Services,"₹50,000 - ₹2,00,000",1-3 Months,Madurai,Phone,290,0
Product Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Kochi,Email,46,0
General Feedback,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Chennai,WhatsApp,252,0
Product Inquiry,Residential,Professional Painting,"Below ₹10,000",Urgent (Within 1 Week),Trivandrum,Email,195,0
Product Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,WhatsApp,138,0
Dealership Inquiry,Industrial,Color Consultation,"Below ₹10,000",1-3 Months,Madurai,Phone,252,0
Dealership Inquiry,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,WhatsApp,93,0
General Feedback,Commercial,Interior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Pune,WhatsApp,347,0
Other,Industrial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,Email,260,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Kochi,Phone,170,0
Product Inquiry,Industrial,Professional Painting,"Below ₹10,000",1-4 Weeks,Hyderabad,Email,48,0
Technical Support,Industrial,Maintenance Program,"₹10,000 - ₹50,000",3+ Months,Hyderabad,WhatsApp,51,0
Dealership Inquiry,Residential,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Email,88,0
